TIMESTAMP,SEA,SLOT-A,RANK-A,SLOT-P,RANK-P
01/03/2015,WESTERN_MEDITERRANEAN_SEA,am, [ D1 C1 ],pm, [ D1 C1 ]
01/03/2015,EAST_MEDITERRANEAN_SEA,am, [ C20 D20 G33 ],pm, [ C20 G33 F31 ]
01/04/2015,EAST_MEDITERRANEAN_SEA,am, [ C20 D20 G33 ],pm, [ C20 D20 G33 ]
01/04/2015,WESTERN_MEDITERRANEAN_SEA,am, [ D1 F9 F8 ],pm, [ D1 H8 F9 ]
01/05/2015,WESTERN_MEDITERRANEAN_SEA,am, [ F9 F8 H8 ],pm, [ H8 F8 G8 ]
01/05/2015,EAST_MEDITERRANEAN_SEA,am, [ C20 G33 D20 ],pm, [ C20 G33 D20 ]
