TIMESTAMP,CELL_ID,SHIP_TYPE1,AVG1_1,SHIP_TYPE2,AVG2,SHIP_TYPE3,AVG3,SHIP_TYPE4,AVG4
01/04/2015,E13,MILITARY_SHIP,0,PASSENGERS_SHIP,78.0,CARGO_SHIP,45.333,OTHER_SHIP,68.0
01/04/2015,H17,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,6.5,OTHER_SHIP,30.0
01/04/2015,I14,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,16.5,OTHER_SHIP,8.0
01/04/2015,H16,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,37.667,OTHER_SHIP,41.0
01/04/2015,G12,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,59.0,OTHER_SHIP,0
01/04/2015,D6,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,51.75,OTHER_SHIP,41.0
01/04/2015,E14,MILITARY_SHIP,0,PASSENGERS_SHIP,106.0,CARGO_SHIP,31.0,OTHER_SHIP,135.625
01/04/2015,E12,MILITARY_SHIP,0,PASSENGERS_SHIP,98.0,CARGO_SHIP,97.0,OTHER_SHIP,44.25
01/04/2015,D12,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,5.8,OTHER_SHIP,0
01/04/2015,D5,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,33.333,OTHER_SHIP,23.833
01/04/2015,J14,MILITARY_SHIP,0,PASSENGERS_SHIP,34.0,CARGO_SHIP,227.5,OTHER_SHIP,221.333
01/04/2015,F6,MILITARY_SHIP,0,PASSENGERS_SHIP,257.0,CARGO_SHIP,105.8,OTHER_SHIP,136.333
01/04/2015,F8,MILITARY_SHIP,0,PASSENGERS_SHIP,69.75,CARGO_SHIP,181.5,OTHER_SHIP,118.385
01/04/2015,F16,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,74.0,OTHER_SHIP,84.5
01/04/2015,H10,MILITARY_SHIP,0,PASSENGERS_SHIP,58.0,CARGO_SHIP,107.333,OTHER_SHIP,69.0
01/04/2015,H11,MILITARY_SHIP,0,PASSENGERS_SHIP,16.5,CARGO_SHIP,27.0,OTHER_SHIP,21.667
01/04/2015,H8,MILITARY_SHIP,0,PASSENGERS_SHIP,103.75,CARGO_SHIP,197.0,OTHER_SHIP,89.333
01/04/2015,G16,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,133.5,OTHER_SHIP,0
01/04/2015,E10,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,66.5,OTHER_SHIP,56.5
01/04/2015,F15,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,34.0,OTHER_SHIP,21.857
01/04/2015,F9,MILITARY_SHIP,0,PASSENGERS_SHIP,13.0,CARGO_SHIP,69.8,OTHER_SHIP,276.35
01/04/2015,G9,MILITARY_SHIP,0,PASSENGERS_SHIP,93.0,CARGO_SHIP,88.4,OTHER_SHIP,78.2
01/04/2015,I15,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,286.0,OTHER_SHIP,121.75
01/04/2015,G15,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,12.0,OTHER_SHIP,115.0
01/04/2015,F14,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,83.25,OTHER_SHIP,43.4
01/04/2015,G11,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,0,OTHER_SHIP,9.667
01/04/2015,I12,MILITARY_SHIP,0,PASSENGERS_SHIP,139.5,CARGO_SHIP,108.333,OTHER_SHIP,125.667
01/04/2015,E5,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,71.0,OTHER_SHIP,46.8
01/04/2015,H15,MILITARY_SHIP,0,PASSENGERS_SHIP,0,CARGO_SHIP,97.0,OTHER_SHIP,59.0
01/04/2015,E16,MILITARY_SHIP,0,PASSENGERS_SHIP,161.0,CARGO_SHIP,98.0,OTHER_SHIP,55.0
01/04/2015,F12,MILITARY_SHIP,0,PASSENGERS_SHIP,1.0,CARGO_SHIP,53.333,OTHER_SHIP,11.667
01/05/2015,H11,MILITARY_SHIP,0,PASSENGERS_SHIP,33.75,CARGO_SHIP,101.333,OTHER_SHIP,75.7
01/05/2015,I9,MILITARY_SHIP,0,PASSENGERS_SHIP,47.25,CARGO_SHIP,0,OTHER_SHIP,53.333
01/05/2015,D1,MILITARY_SHIP,0,PASSENGERS_SHIP,46.333,CARGO_SHIP,112.091,OTHER_SHIP,215.455
01/05/2015,F9,MILITARY_SHIP,0,PASSENGERS_SHIP,125.316,CARGO_SHIP,118.875,OTHER_SHIP,261.105
01/05/2015,H9,MILITARY_SHIP,0,PASSENGERS_SHIP,103.188,CARGO_SHIP,260.389,OTHER_SHIP,148.643
01/05/2015,E13,MILITARY_SHIP,0,PASSENGERS_SHIP,47.0,CARGO_SHIP,85.615,OTHER_SHIP,62.167
01/05/2015,D4,MILITARY_SHIP,0,PASSENGERS_SHIP,60.6,CARGO_SHIP,90.0,OTHER_SHIP,189.333
01/05/2015,G15,MILITARY_SHIP,0,PASSENGERS_SHIP,115.0,CARGO_SHIP,24.625,OTHER_SHIP,0
